data	mut	pop	len	ind	ploidy	rep	method	rf	time	core
M201	5.00E-08	1.00E+05	5.00E+06	1	2	39	SVDQuartets	0	33734	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	40	SVDQuartets	0	59656	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	41	SVDQuartets	2	49410	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	42	SVDQuartets	6	30557	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	43	SVDQuartets	6	35409	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	44	SVDQuartets	5	18836	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	45	SVDQuartets	6	29867	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	46	SVDQuartets	0	35454	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	47	SVDQuartets	4	52646	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	48	SVDQuartets	3	31918	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	49	SVDQuartets	0	48763	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	50	SVDQuartets	7	22550	64
M201	5.00E-08	1.00E+05	5.00E+06	1	2	1	CASTER-site	3	836.023	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	2	CASTER-site	1	714.735	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	3	CASTER-site	5	765.179	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	4	CASTER-site	3	686.874	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	5	CASTER-site	1	895.664	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	6	CASTER-site	4	845.589	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	7	CASTER-site	1	1233.268	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	8	CASTER-site	2	755.003	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	9	CASTER-site	1	670.47	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	10	CASTER-site	3	759.244	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	11	CASTER-site	3	780.472	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	12	CASTER-site	1	847.82	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	13	CASTER-site	3	705.459	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	14	CASTER-site	1	842.889	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	15	CASTER-site	1	856.333	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	16	CASTER-site	0	710.991	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	17	CASTER-site	1	868.886	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	18	CASTER-site	6	772.713	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	19	CASTER-site	0	835.691	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	20	CASTER-site	0	756.753	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	21	CASTER-site	1	728.634	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	22	CASTER-site	0	765.578	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	23	CASTER-site	5	800.607	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	24	CASTER-site	1	506.465	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	25	CASTER-site	2	778.436	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	26	CASTER-site	2	805.181	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	27	CASTER-site	1	428.695	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	28	CASTER-site	0	826.626	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	29	CASTER-site	0	787.921	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	30	CASTER-site	2	769.372	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	31	CASTER-site	0	776.332	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	32	CASTER-site	0	890.951	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	33	CASTER-site	3	803.228	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	34	CASTER-site	2	811.125	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	35	CASTER-site	3	884.107	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	36	CASTER-site	1	853.79	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	37	CASTER-site	1	635.876	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	38	CASTER-site	2	856.512	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	39	CASTER-site	0	838.004	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	40	CASTER-site	1	844.992	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	41	CASTER-site	1	811.928	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	42	CASTER-site	1	665.15	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	43	CASTER-site	3	752.085	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	44	CASTER-site	2	529	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	45	CASTER-site	0	599.259	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	46	CASTER-site	1	847.815	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	47	CASTER-site	2	762.747	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	48	CASTER-site	1	823.095	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	49	CASTER-site	0	844.773	32
M201	5.00E-08	1.00E+05	5.00E+06	1	2	50	CASTER-site	4	520.391	32
